Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",2.943,0.736,2.914,0.729,14.331,14.871,0.12,0.124
"nodes = 2, thread = 4",3.289,0.411,3.51,0.439,57.191,51.063,0.205,0.183
"nodes = 2, thread = 8",7.585,0.474,7.298,0.456,44.287,47.599,0.074,0.079
"nodes = 4, thread = 2",4.061,0.508,4.216,0.527,38.727,35.831,0.139,0.128
"nodes = 4, thread = 4",5.957,0.372,6.085,0.38,67.295,65.055,0.112,0.109
"nodes = 4, thread = 8",10.795,0.337,3.828,0.12,78.415,82.575,0.063,0.237
"nodes = 8, thread = 2",7.101,0.444,6.676,0.417,50.031,55.759,0.084,0.093
"nodes = 8, thread = 4",9.872,0.309,10.342,0.323,89.487,83.599,0.072,0.068
"nodes = 8, thread = 8",13.021,0.203,12.546,0.196,156.303,163.727,0.062,0.065